draw,date,ad_date,numbers,price,lottery_type
103000001,103/01/01,2014-01-01,"05,13,24,26,34",8000000,daily_cash
103000002,103/01/02,2014-01-02,"08,14,19,27,30",8000000,daily_cash
103000003,103/01/03,2014-01-03,"10,27,28,32,37",8000000,daily_cash
103000004,103/01/04,2014-01-04,"05,14,19,25,39",8000000,daily_cash
103000005,103/01/06,2014-01-06,"13,16,17,31,38",8000000,daily_cash
103000006,103/01/07,2014-01-07,"05,06,10,19,23",8000000,daily_cash
103000007,103/01/08,2014-01-08,"04,06,17,28,33",8000000,daily_cash
103000008,103/01/09,2014-01-09,"06,15,17,27,33",8000000,daily_cash
103000009,103/01/10,2014-01-10,"08,13,16,26,39",8000000,daily_cash
103000010,103/01/11,2014-01-11,"06,08,10,19,32",8000000,daily_cash
103000011,103/01/13,2014-01-13,"10,11,13,35,38",8000000,daily_cash
103000012,103/01/14,2014-01-14,"09,16,17,21,34",8000000,daily_cash
103000013,103/01/15,2014-01-15,"03,18,30,31,36",8000000,daily_cash
103000014,103/01/16,2014-01-16,"05,08,09,14,23",8000000,daily_cash
103000015,103/01/17,2014-01-17,"22,24,31,32,37",8000000,daily_cash
103000016,103/01/18,2014-01-18,"02,07,15,21,38",8000000,daily_cash
103000017,103/01/20,2014-01-20,"14,21,31,34,38",8000000,daily_cash
103000018,103/01/21,2014-01-21,"04,07,11,21,27",8000000,daily_cash
103000019,103/01/22,2014-01-22,"19,24,25,29,31",8000000,daily_cash
103000020,103/01/23,2014-01-23,"05,08,16,21,30",8000000,daily_cash
103000021,103/01/24,2014-01-24,"03,21,34,37,38",8000000,daily_cash
103000022,103/01/25,2014-01-25,"02,20,30,31,38",8000000,daily_cash
103000023,103/01/27,2014-01-27,"26,27,28,30,38",8000000,daily_cash
103000024,103/01/28,2014-01-28,"02,05,10,15,19",8000000,daily_cash
103000025,103/01/29,2014-01-29,"17,19,25,37,38",8000000,daily_cash
103000026,103/01/30,2014-01-30,"17,21,23,24,34",8000000,daily_cash
103000027,103/01/31,2014-01-31,"08,19,23,24,35",8000000,daily_cash
103000028,103/02/01,2014-02-01,"21,28,29,31,37",8000000,daily_cash
103000029,103/02/03,2014-02-03,"03,08,16,22,33",8000000,daily_cash
103000030,103/02/04,2014-02-04,"11,18,21,33,37",8000000,daily_cash
103000031,103/02/05,2014-02-05,"28,29,36,38,39",8000000,daily_cash
103000032,103/02/06,2014-02-06,"02,07,20,30,36",8000000,daily_cash
103000033,103/02/07,2014-02-07,"05,13,19,32,38",8000000,daily_cash
103000034,103/02/08,2014-02-08,"02,10,21,22,33",8000000,daily_cash
103000035,103/02/10,2014-02-10,"06,09,11,14,28",8000000,daily_cash
103000036,103/02/11,2014-02-11,"11,13,20,21,28",8000000,daily_cash
103000037,103/02/12,2014-02-12,"11,13,15,16,29",8000000,daily_cash
103000038,103/02/13,2014-02-13,"04,05,06,32,33",8000000,daily_cash
103000039,103/02/14,2014-02-14,"03,08,11,21,37",8000000,daily_cash
103000040,103/02/15,2014-02-15,"04,07,14,21,22",8000000,daily_cash
103000041,103/02/17,2014-02-17,"01,06,10,16,34",8000000,daily_cash
103000042,103/02/18,2014-02-18,"13,16,30,32,38",8000000,daily_cash
103000043,103/02/19,2014-02-19,"02,05,08,17,34",8000000,daily_cash
103000044,103/02/20,2014-02-20,"04,05,15,16,19",8000000,daily_cash
103000045,103/02/21,2014-02-21,"06,07,08,10,37",8000000,daily_cash
103000046,103/02/22,2014-02-22,"13,17,27,37,38",8000000,daily_cash
103000047,103/02/24,2014-02-24,"12,13,27,33,39",8000000,daily_cash
103000048,103/02/25,2014-02-25,"03,04,07,12,22",8000000,daily_cash
103000049,103/02/26,2014-02-26,"06,17,21,35,38",8000000,daily_cash
103000050,103/02/27,2014-02-27,"03,30,31,37,38",8000000,daily_cash
103000051,103/02/28,2014-02-28,"03,20,23,24,26",8000000,daily_cash
103000052,103/03/01,2014-03-01,"05,12,16,30,36",8000000,daily_cash
103000053,103/03/03,2014-03-03,"19,25,26,30,38",8000000,daily_cash
103000054,103/03/04,2014-03-04,"01,02,07,17,25",8000000,daily_cash
103000055,103/03/05,2014-03-05,"01,04,12,13,36",8000000,daily_cash
103000056,103/03/06,2014-03-06,"15,16,22,31,35",8000000,daily_cash
103000057,103/03/07,2014-03-07,"05,16,22,23,38",8000000,daily_cash
103000058,103/03/08,2014-03-08,"09,17,18,22,23",8000000,daily_cash
103000059,103/03/10,2014-03-10,"02,13,22,34,35",8000000,daily_cash
103000060,103/03/11,2014-03-11,"13,23,25,31,38",8000000,daily_cash
103000061,103/03/12,2014-03-12,"14,19,29,31,38",8000000,daily_cash
103000062,103/03/13,2014-03-13,"06,17,24,27,33",8000000,daily_cash
103000063,103/03/14,2014-03-14,"01,14,15,36,38",8000000,daily_cash
103000064,103/03/15,2014-03-15,"06,07,23,25,31",8000000,daily_cash
103000065,103/03/17,2014-03-17,"01,04,10,23,39",8000000,daily_cash
